cam;year;month;day;hour;min;r;g;b;h;s;v;tot;r_pc;g_pc;b_pc;r_ex;g_ex;b_ex;n_rg_d;n_rb_d;n_gb_d
1;16;1;1;10;55;122.837164846077;124.418009433962;126.545731876862;171.31111122145;9.90066931479642;0;373.800906156902;-1.1145181744299;-1.10311145986419;-1.07919687986895;-5.28941161866932;-0.546877855014896;5.83628947368421;-0.006709317124164;-0.018090714020816;-0.011390873308932
1;16;1;1;13;55;124.552914101291;124.244635551142;123.995475670308;133.903736842105;9.62024677259186;0;372.793025322741;-1.09495109744891;-1.10199758919529;-1.09992218774785;0.865716981132075;-0.059118669314797;-0.806598311817279;0.003263478202125;0.002639795430294;-0.000633740278578
1;16;1;1;16;55;124.320113207547;128.401897219464;130.884477159881;153.374205561073;9.50147169811321;0;383.606487586892;-1.13107716675291;-1.09618574530101;-1.07348750480283;-10.6461479642502;1.5992040714995;9.04694389275075;-0.017458726819754;-0.028768879117772;-0.011330918747199
1;16;1;2;10;55;127.577167328699;124.195740317776;122.114745283019;171.999191161867;12.2724582919563;0;373.887652929494;-1.07100150130476;-1.10662764638731;-1.12004867891029;8.84384905660377;-1.30043197616683;-7.54341708043694;0.017640723219486;0.025697414903561;0.008187604795252
1;16;1;2;13;55;123.974960278054;125.233967725919;127.399088381331;129.91271102284;9.51114448857994;0;376.608016385303;-1.11349303439327;-1.10504951322764;-1.08193460520652;-4.68313555114201;-0.90611320754717;5.58924875868918;-0.00439786450134;-0.015874630140061;-0.011444256473985
1;16;1;2;16;55;119.333783018868;128.768699602781;133.891718470705;191.857824230387;14.0463649453823;0;381.994201092354;-1.17136223056088;-1.08909733369935;-1.04453273435424;-23.9928520357498;4.31189771598808;19.6809543197617;-0.041212797616641;-0.063267389559816;-0.022214666131884
1;16;1;3;10;55;129.219070506455;128.473386295928;121.166610228401;126.555538232373;10.8631931479643;0;378.859067030784;-1.07599128026712;-1.08154508514948;-1.1449350155089;8.79814448857994;6.56109185700099;-15.3592363455809;0.002758296179016;0.034404185490621;0.031728854151588
1;16;1;3;13;55;123.248878351539;124.756338133069;127.790219960278;177.683088877855;9.94641062562066;0;375.795436444886;-1.11781902402606;-1.10588899574412;-1.07636056079209;-6.04880139026812;-1.52642204568024;7.57522343594836;-0.006005895015319;-0.020963509089473;-0.014883470565567
1;16;1;3;16;55;123.439171300894;128.341129096326;128.251035253227;152.084649950348;10.5516127110228;0;380.031335650447;-1.12967998155553;-1.08570190081733;-1.0841540128745;-9.71382174776564;4.99205163853029;4.72177010923535;-0.022659496388698;-0.023191717508626;-0.000675489092675
1;16;1;4;10;55;118.78183714002;125.178191658391;128.05267428004;177.313165342602;13.6895327706058;0;372.012703078451;-1.14991792313168;-1.09106700213558;-1.0577756196128;-15.6671916583913;3.52187189672294;12.1453197616683;-0.0326857664694;-0.047843187086147;-0.015652201231249
