cam;year;month;day;hour;min;r;g;b;h;s;v;tot;r_pc;g_pc;b_pc;r_ex;g_ex;b_ex;n_rg_d;n_rb_d;n_gb_d;flower
1;14;1;1;10;55;128.174958788481;126.53174925521401;119.842058589871;137.706643992056;11.9000357497517;0;374.548766633565;-1.06736884415457;-1.0864095059322099;-1.14564492924639;9.976109731876859;5.04648113207547;-15.022590863952301;0.009680527637129;0.041007547546768;0.031542890824889;0
1;14;1;1;13;55;123.42818718967199;125.24009980139;125.47726663356501;119.428250248262;8.26712313803376;0;374.145553624628;-1.11068053190574;-1.0955677835436999;-1.09042235759784;-3.8609920556107302;1.5747457795431998;2.28624627606753;-0.007658108225333;-0.010277340498497;-0.0024999633157940003;0
1;14;1;1;16;55;123.780841112215;127.910258192651;131.25041559086398;172.278894736842;10.276911122145;0;382.94151489573;-1.13467774700502;-1.09817302887539;-1.06837035320749;-11.598991559086402;0.7892596822244291;10.809731876862;-0.018333582453428;-0.033190102266639994;-0.014896855522283002;0
1;14;1;2;10;55;127.894463753724;124.93890466732901;118.655820258193;149.69014101291;13.441954319761699;0;371.489188679245;-1.05650563299641;-1.08993665629209;-1.1462586469348102;12.1942025819265;3.3275253227408097;-15.521727904667301;0.017317887184722;0.049475430853140996;0.032636409112434;0
1;14;1;2;13;55;121.836390268123;124.485751241311;128.082396722939;125.547676266137;10.027169811320801;0;374.40453823237294;-1.1266617518731201;-1.1034515701414298;-1.06605823464033;-8.89536742800397;-0.947284508440914;9.84265193644489;-0.012038783284206002;-0.030735212093652004;-0.018454944288994;0
1;14;1;2;16;55;127.103349553128;125.85636146971201;129.785843594836;167.852136544191;9.767394736842109;0;382.745554617676;-1.10373076820441;-1.11684516540233;-1.07714268405052;-1.43550595829196;-5.17647020854022;6.61197616683218;0.006855633856614;-0.013359793667599;-0.020013635752371004;0
1;14;1;3;10;55;123.8044632572;125.029571002979;122.19001142006;125.463368917577;10.1796097318769;0;371.02404568023803;-1.09600222812599;-1.08795624445576;-1.11026244782061;0.38934409136047704;4.06466732869911;-4.45401142005958;-0.004562373140104;0.007839174208627;0.012522692868194999;0
1;14;1;3;13;55;127.79936792452801;127.580087884806;122.524398709037;94.05740069513409;8.62997567030785;0;377.90385451837096;-1.08539504205259;-1.08691036609982;-1.1284888800520902;5.49424925521351;4.83640913604767;-10.3306583912612;0.0008255134366810002;0.021638176138;0.020831980979391998;0
1;14;1;3;16;55;119.708544190665;127.745549652433;133.317640019861;192.359820754717;13.9765968222443;0;380.77173386295897;-1.16620477211155;-1.09369970743208;-1.04402671135989;-21.6461012909633;2.46491509433962;19.181186196623603;-0.036859366351859005;-0.061302658098160004;-0.024717912287075004;0
1;14;1;4;10;55;127.14557745779499;125.929478649454;123.56339920556101;143.828206554121;11.439439424031802;0;376.63845531281;-1.08041766446963;-1.09806059581883;-1.11364033217298;4.79827706057597;1.14998063555114;-5.9482576961271105;0.008862250733093;0.018955404120786997;0.010204125616315;0
1;14;1;4;13;55;124.475671797418;124.861874875869;123.127266633565;106.306649453823;9.47780983118173;0;372.464813306852;-1.09280396069763;-1.09397419867102;-1.10412508023585;0.962202085402185;2.12081132075472;-3.0830134061569;6.12231692004654e-05;0.0068159524416599995;0.006759995286276001;0
1;14;1;4;16;55;119.66510327706101;129.797554121152;133.415856504469;178.496111717974;13.2849304865938;0;382.878513902681;-1.17075143979511;-1.0832189623921802;-1.05016583349484;-23.8832040714995;6.51414846077458;17.3690556107249;-0.043746143776749;-0.060088626783165;-0.016468044399775;0
1;14;1;5;10;55;127.192032770606;122.05937487586901;127.282595332671;209.253349553128;12.4746474677259;0;376.53400297914595;-1.08036670975839;-1.13751758775257;-1.07650847548362;5.042095332671299;-10.3558783515392;5.313783018867929;0.032128144714871;-0.00033121623000700005;-0.031351878498569;0
1;14;1;5;13;55;123.970601290963;125.068644985104;122.85785451837098;79.84546722939429;7.989686196623629;0;371.897100794439;-1.09636207919972;-1.08839032749081;-1.1067909216172098;0.014703078450843999;3.3088341608738796;-3.32353723932473;-0.004397753370571;0.006113220929000999;0.010523038207229002;0
1;14;1;5;16;55;123.757389275074;127.703290466733;132.36899900695101;171.32532522343598;11.3350943396226;0;383.829678748759;-1.13838479128975;-1.1035645133575902;-1.05820524555747;-12.557510923535302;-0.719807348560079;13.277318272095302;-0.018424258493411;-0.04068858231356;-0.022525622331087004;0
1;14;1;6;10;55;120.01837140019899;124.448206554121;127.30807100297899;168.594224428997;11.7280307845084;0;371.77464895729895;-1.1357732651715902;-1.0952996386676501;-1.06492633039967;-11.7195347567031;1.56997070506455;10.1495640516385;-0.021471605134054;-0.036653594303956;-0.015048868635373;0
1;14;1;6;13;55;124.103402681231;123.434159880834;125.391844587885;141.10381231380302;9.514417080436939;0;372.92940714995;-1.0975980055705001;-1.1076317622199099;-1.084848324051;-0.619199106256207;-2.62692750744787;3.24612661370407;0.005874348863478001;-0.006134422382678001;-0.011704507840686999;0
1;14;1;6;16;55;125.307348063555;129.959340119166;129.609909632572;123.097345580933;8.30772492552135;0;384.876597815293;-1.12629745811122;-1.0860317472631;-1.0878984442951198;-8.954553624627609;5.00142254220457;3.9531310824230403;-0.020150338871946;-0.019227388274524;0.0009272350056660001;0
1;14;1;7;10;55;131.215697616683;129.196860973188;122.075778550149;117.134661370407;11.9114637537239;0;382.48833714002;-1.07149478082735;-1.0846250343372699;-1.14793729983879;11.1587557100298;5.102245779543201;-16.261001489573;0.0065723546733839995;0.038253932401415;0.03190352701990799;0
1;14;1;7;13;55;122.940098311817;124.67068619662399;124.29629096325701;143.616282025819;10.742117676266101;0;371.907075471698;-1.11017651054699;-1.09334905969838;-1.09364784483957;-3.08678053624628;2.10498311817279;0.9817974180734851;-0.008607547688339;-0.008052519670162;0.0006360527283069999;0
