date value R G B H S L
1_15_01_01_10_55 0 0 0 0 491271 491171 0
1_15_01_01_10_55 1 0 0 0 0 958 0
1_15_01_01_10_55 2 0 0 1 196 1746 0
1_15_01_01_10_55 3 0 0 0 3 2198 1
1_15_01_01_10_55 4 0 0 0 2 43003 0
1_15_01_01_10_55 5 0 0 1 471 201110 2
1_15_01_01_10_55 6 0 0 3 6 211268 0
1_15_01_01_10_55 7 0 0 2 265 211966 3
1_15_01_01_10_55 8 0 0 0 7 154055 7
1_15_01_01_10_55 9 0 0 1 11 101471 6
1_15_01_01_10_55 10 0 0 0 1467 83814 5
1_15_01_01_10_55 11 1 0 0 183 87138 12
1_15_01_01_10_55 12 0 0 3 32 119653 30
1_15_01_01_10_55 13 0 1 2 14 129161 26
1_15_01_01_10_55 14 0 0 2 7 79972 52
1_15_01_01_10_55 15 1 0 4 960 36061 117
1_15_01_01_10_55 16 1 0 2 23 21113 94
1_15_01_01_10_55 17 0 1 3 12 12245 171
1_15_01_01_10_55 18 0 1 3 3 5288 223
1_15_01_01_10_55 19 0 0 4 1607 4660 453
1_15_01_01_10_55 20 0 0 3 90 2801 513
1_15_01_01_10_55 21 1 0 1 2163 2201 969
1_15_01_01_10_55 22 1 0 13 105 1821 1130
1_15_01_01_10_55 23 0 1 5 70 1446 2207
1_15_01_01_10_55 24 5 2 11 190 1034 2703
1_15_01_01_10_55 25 1 0 9 70 683 6744
1_15_01_01_10_55 26 1 4 7 264838 721 11590
1_15_01_01_10_55 27 3 2 16 460 648 10455
1_15_01_01_10_55 28 1 2 12 334 483 21642
1_15_01_01_10_55 29 4 5 33 51 383 19193
1_15_01_01_10_55 30 3 3 21 170 419 35095
1_15_01_01_10_55 31 6 2 23 4 322 31472
1_15_01_01_10_55 32 5 4 38 880 256 48869
1_15_01_01_10_55 33 11 8 48 68 301 44616
1_15_01_01_10_55 34 8 9 42 159 83 64250
1_15_01_01_10_55 35 7 11 50 709 247 84078
1_15_01_01_10_55 36 16 17 60 249 118 65989
1_15_01_01_10_55 37 20 17 82 597 92 97566
1_15_01_01_10_55 38 19 16 78 6 204 73506
1_15_01_01_10_55 39 18 15 84 1897 21 101172
1_15_01_01_10_55 40 19 28 104 64 103 67824
1_15_01_01_10_55 41 34 24 123 261 139 71874
1_15_01_01_10_55 42 42 27 154 1124 81 49776
1_15_01_01_10_55 43 40 36 177 395909 23 47959
1_15_01_01_10_55 44 40 48 243 1257 128 34294
1_15_01_01_10_55 45 68 48 244 1097 51 37480
1_15_01_01_10_55 46 69 58 303 34 11 28986
1_15_01_01_10_55 47 77 61 357 958 60 22077
1_15_01_01_10_55 48 83 85 458 203 66 23287
